2018-05-25 22:18:40, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-25 22:18:40, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1515124964290786&merId=7000000185&merchantNum=200370100010003&orderId=1527257920&productCode=0203&reqReserved=my order&signMethod=01&txnAmt=100&txnSubType=03&txnTime=20180525221840&txnType=02&version=1.0 
2018-05-25 22:18:40, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >911e514364faa2065be4aa4b3be8117946453e84 
2018-05-25 22:18:40, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[28]------ 签名串为 >h+BnHCAARdeS6jHufc6AsVWqO4AU/MQKzb8gYdTJpzeWxD6CagsWCFx+niiDksoJHKryYMYiZ7KR5T7MiAxwhao7xYanNrRI1ZUaTDMR18vgDAyogLHEr6evsMi/fZnNYGixSbZtaxDdh1z9A4ZWZaJB5jyucH87TY01aJ9ynSL52LJJ6pharN0p6grqmJkSwLuUfB+YJcHJasnNDu4YIQ1g8R6Dr64P6R8KDVIKGD+Ica7Dv+QAu5c72k6maeJJM59mtB+UEU0evaRsvFItH6DQfcbpMEx+FXw+dQqSO6aXAZB7dRWiM0n0L0rznOukBbcb/TUsc7GdSgdknHkZsg== 
2018-05-25 22:18:40, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-25 22:18:41, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-25 22:18:41, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>../assets/certs/ 
2018-05-25 22:18:41, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-05-25 22:18:41, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1493192193960028&merId=7000000185&merchantNum=200370100010003&orderId=1527257920&productCode=0203&queryId=18052506194897102429&reqReserved=my order&respCode=99&respMsg=交易失败[903001]&signMethod=01&txnAmt=100&txnSubType=03&txnTime=20180525221840&txnType=02&version=1.0 
2018-05-25 22:18:41, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[56]------ 摘要shax16>0dbb3701dc60952396e93106beb47e218f4c9bd0 
2018-05-25 22:18:41, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-05-25 22:20:52, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-25 22:20:52, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1515124964290786&merId=7000000185&merchantNum=200370100010003&orderId=1527258052&productCode=0203&reqReserved=my order&signMethod=01&txnAmt=100&txnSubType=03&txnTime=20180525222052&txnType=02&version=1.0 
2018-05-25 22:20:52, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >d1e4cf3d5e619d6238eb6298e9c0983117d26823 
